pub_number,title,abstract,publication_date,ipc_primary,kind
20240362013,AUTONOMOUS VEHICLE ACCIDENT AND EMERGENCY RESPONSE,"Methods and systems for monitoring use, determining risk, and pricing insurance policies for a vehicle having one or more autonomous or semi-autonomous operation features are provided. According to certain aspects, the operating status of the features, the identity of a vehicle operator, risk levels for operation of the vehicle by the vehicle operator, or damage to the vehicle may be determined based upon sensor or other data. According to further aspects, decisions regarding transferring control between the features and the vehicle operator may be made based upon sensor data and information regarding the vehicle operator. Additional aspects may recommend or install updates to the autonomous operation features based upon determined risk levels. Some aspects may include monitoring transportation infrastructure and communicating information about the infrastructure to vehicles.",20241031,A61B5/00,A1
20240369083,HYDRAULIC SYSTEM WITH A FUNCTIONAL SAFETY FEATURE FOR DEMOLITION ROBOTS,"A hydraulic system for controlling one or more movable members on construction equipment such as a demolition robot, where the hydraulic system is configurable in a safe mode of operation in which at least one of the movable members is intended to be stationary. The system comprises a load sensing (LS) circuit and a first hydraulic pressure sensor arranged to sense a first LS pressure in a first LS circuit part of the LS circuit. The system also comprises a control unit arranged to monitor the sensed first LS pressure, compare the first LS pressure to a predetermined acceptance criterion associated with stationarity of the one or more movable members, and trigger a safety-related action by the hydraulic system in case the first LS pressure does not satisfy the acceptance criterion even though the safe mode of operation is configured.",20241107,E02F9/22,A1
20240381582,INTELLIGENT COMPONENTS OF A DATA CENTER,"Some embodiments described herein provide intelligent movable racks for a data center and a central system for monitoring and directing the positioning of such racks within the data center. For example, a rack may include computing equipment as well as a power system, a cooling system, and a cabling system (e.g., for data communication). The rack may include a controller in communication with the computing equipment, the power system, the cooling system, and the cabling system. The rack may also include a rack interface for physically supporting the rack and operatively connecting the systems of the rack to power, cooling, and cabling infrastructure of the data center. The rack interface may receive an autonomous robot for moving the rack within the data center. The controller may control the power system and the cooling system based in part on the autonomous movement of the rack.",20241114,H05K7/14,A1
20240386245,SYNTHETIC TRAINING DATA GENERATION FOR BUILDING MANAGEMENT SYSTEM WITH ARTIFICIAL INTELLIGENCE-BASED RISK MONITORING,"Systems and methods are disclosed relating to generating synthetic training data for artificial intelligence-based event detection and/or risk monitoring. A system can include one or more processors configured to receive a prompt identifying one or more characteristics of a training data image. The one or more processors can generate, using at least one machine learning model, the training data image based on the one or more characteristics. The one or more processors can provide the training data image as input to the at least one machine learning model to configure the at least one machine learning model using the training data image.",20241121,G05B15/02,A1
20240395026,DISTRIBUTED MANAGEMENT AND CONTROL IN AUTONOMOUS CONVEYANCES,"Disclosed subject matter identifies, characterizes, and mitigates previously unforeseen safety hazards that are likely to be encountered by autonomous conveyances—finding these hazards, assessing their potential safety impact, modifying the design to mitigate them should they occur, disseminating updated design programming to all units, including those under construction or those already in the field, and including those hazard mitigations of high severity that exceed the maximum capabilities of the controller as manufactured. These hazards can include rare, infrequent and unforeseen hazards by monitoring conveyances already in the field, gathering data from autonomous conveyances, such as those using a design being updated, and data obtained from those using other autonomous designs in the field. By obtaining data from non-autonomous conveyances, as supplied by their drivers and operators, reporting real-time via a smartphone application, categories of rare, infrequent or unforeseen hazards can be integrated into modified designs.",20241128,B60W30/09,A1
20240395047,Egress Obstruction Detection via Computer Vision,"An Automated Computer-Vision based system and method for identifying potential hazards to building occupants in building exit pathways is described to address the inherent challenges in manual building safety inspections. The computer vision-based approach automates the inspection of an interior building hallway (exit access) for an obstruction that may be a potential hazard. The invention mitigates the risk of a hazard to the building occupants by sensing and alerting the safety officer before a situation turns into an emergency. Test results demonstrate that the Dual Temporal Buffer Differencing (DTBD) method of the invention can detect a potential hazard in the building exit access effectively and continuously. As a result, the invention can facilitate safety in the building and allow safety inspectors to make better use of resources.",20241128,G06V10/32,A1
20240402113,THERMO-ELECTRICAL WIRELESS SENSOR FOR HIGH-FREQUENCY ELECTRICAL IMPEDANCE WITH SOLAR RECHARGE,"The present disclosure provides a sensor system comprising a sensor node and a detachably attachable sensor probe. The sensor node includes a sensor enclosure, a solar panel, at least one probe connection port, and processing circuitry. The sensor probe includes a probe enclosure, a thermocouple for temperature measurement, at least two conductive contact points for electrical measurements, and a cable connecting to the sensor node. The processing circuitry receives temperature data from the thermocouple and electrical measurement data from the conductive contact points, processes the received data, and wirelessly transmits the processed data to an external device. The solar panel powers the sensor node for autonomous operation. The system enables long-term monitoring of materials such as concrete, soil, wood, and polymers, providing real-time data on temperature, electrical properties, and material characteristics.",20241205,G01N27/04,A1
20240404203,AUTOMATED AERIAL DATA CAPTURE FOR 3D MODELING OF UNKNOWN OBJECTS IN UNKNOWN ENVIRONMENTS,"System and method are disclosed for multi-phase process of automated data capture for photogrammetry and 3D model building of an unknown object ( 311 ) in an unknown environment. Planner module ( 152 ) generates a flight plan ( 413 ) for a camera drone ( 110 ) to fly autonomously on a flight path along a virtual polygon grid ( 302 ) defined above the target object ( 311 ) during a survey phase. Model builder computer ( 153 ) receives a point cloud dataset ( 321 ) captured by LiDAR sensor on camera drone ( 301 ) during survey flight and constructs low resolution 3D mesh ( 331 ) of the target object ( 311 ). Planner module ( 152 ) generates a flight path ( 413 ) for camera drone inspection phase with virtual waypoints surrounding the target object ( 311 ) at a marginal distance from the surface defined by the low resolution 3D mesh ( 331 ). Model builder ( 153, 163 ) builds a high resolution 3D model ( 422 ) of the target object ( 311 ) using photogrammetry processing of high resolution images captured by camera drone ( 411, 412 ) during inspection phase.",20241205,G01C11/02,A1
20240409114,CLOUD-BASED FUNCTION ALLOCATION SYSTEM FOR DISTRIBUTED DRIVING INTELLIGENCE,"Provided herein is technology relating to a function allocation system (FAS) that deploys artificial intelligence models for a connected automated highway (CAH) system and a connected automated vehicle (CAV) system to distribute driving intelligence between the CAV system and the CAH system. The FAS comprises a communication module, a data module, and a computing module. The computing module is configured to analyse scenes using sensing data, determine automated driving function requirements, deploy function allocation methods, and analyse CAH system and CAV system functions. The function allocation methods provide analysis, guidance, and optimization capabilities for sensing, decision-making, and control functions. The FAS allocates automated driving functions to the CAV system and the CAH system based on their respective intelligence levels. The technology aims to enhance automated driving and ensure driving safety by leveraging function allocation models and algorithms for optimal function distribution between vehicles and the infrastructure.",20241212,B60W40/04,A1
20240418530,Automated Discovery and Monitoring of Uncrewed Aerial Vehicle Ground-Support Infrastructure,"A computing system in an infrastructure support network for uncrewed aerial vehicles (UAVs) may receive, from a UAV, aerial observation data of a ground-based cluster of charging pads for UAVs, the cluster comprising assets including the charging pads arranged in a layout and fiducial markers distributed across the layout. The aerial observation data may comprise position measurements of the UAV at aerial geolocations above the cluster, and vector positions of one or more assets with respect to the aerial geolocations. The computing system may generate a map graph from the aerial observation data, the map graph comprising (i) nodes corresponding to both the aerial geolocations and vector positions, and (ii) edges between pairs of selected nodes, the edges corresponding to distances between selected nodes and including measurement uncertainties. The computing system may generate a spatial map of cluster assets of the cluster by computationally optimizing the map graph.",20241219,G01C21/00,A1
20240422055,TELECOMMUNICATION NETWORKS,"The present disclosure relates to a method and system for converging a 5th-Generation (5G) communication system for supporting higher data rates beyond a 4th-Generation (4G) system with a technology for Internet of Things (IoT). The system may be applied to intelligent services based on the 5G communication technology and the IoT-related technology, such as smart home, smart building, smart city, smart car, connected car, health care, digital education, smart retail, security and safety services. The method includes a method for configuring a base station in a telecommunication network. The base station includes a central unit (CU) and a distributed unit (DU). The CU is arranged to perform virtualized network functions (VNFs). The CU includes an artificial intelligence (AI) engine operable to learn from computational metrics and to adjust the configuration of various VNFs, wherein an F1 interface is used to exchange computational metrics between the CU and the DU.",20241219,H04L41/0806,A1
20240426471,VEHICLE TRAFFIC MONITORING DEVICE SYSTEMS AND METHODS,"A connected streetlamp has live video feed zooming capabilities, Fifth Generation (5G) cellular wireless functionality, and traffic analytics capabilities using artificial intelligence (AI) and computer vision image recognition functionality built in to the monitoring device operably attached to or otherwise integrated with the streetlamp head. In other embodiments, the monitoring device may be located on or integrated with other parts of the streetlamp, or located on or integrated with a telephone pole, post, fence, building or other structure located alongside or near a street or road. A vehicle traffic monitoring system may include a plurality of multi-access edge computing (MEC) vehicle traffic monitoring devices each integrated in a respective connected streetlamp.",20241226,F21V33/00,A1
20240427326,SHARING UAV FLIGHT DATA WITH REMOTE OBSERVERS,"A graphical user interface is generated with flight data of an unmanned aerial vehicle that is controllable by a surface-based pilot with a remote control. The graphical user interface is outputted to an observer computing device that is remote from the surface-based pilot. The graphical user interface provides the flight data to an observer at the observer computing device. Flight data may include video, flight parameters, geographic location, and similar data to facilitate a task carried out by the pilot and the remote observer, such as the inspection of infrastructure.",20241226,B64U10/10,A1
20240428391,PHOTO-REALISTIC INFRASTRUCTURE INSPECTION,"One aspect provides a modular inspection robot for inspecting vertical shafts, chambers or tunnels. An embodiment provides related methods and products. One method includes: capturing, using a plurality of video cameras associated with an infrastructure inspection unit, two or more videos of infrastructure; accessing, using one or more processors, image metadata indicating a mesh of connected vertices based on the two or more videos; selecting, using the one or more processors, image data of frames of the two or more videos for inclusion in an output based on the mesh; and outputting, using the one or more processors, a photo-realistic image of the infrastructure comprising the image data selected. Other examples are described and claimed.",20241226,G06T17/20,A1
20240428681,VEHICLE TRAFFIC MONITORING DEVICE SYSTEMS AND METHODS,"A connected streetlamp has live video feed zooming capabilities, Fifth Generation ( 5 G) cellular wireless functionality, and traffic analytics capabilities using artificial intelligence (AI) and computer vision image recognition functionality built in to the monitoring device operably attached to or otherwise integrated with the streetlamp head. In other embodiments, the monitoring device may be located on or integrated with other parts of the streetlamp, or located on or integrated with a telephone pole, post, fence, building or other structure located alongside or near a street or road. A vehicle traffic monitoring system may include a plurality of multi-access edge computing (MEC) vehicle traffic monitoring devices each integrated in a respective connected streetlamp.",20241226,G08G1/01,A1
20240430387,VEHICLE TRAFFIC MONITORING DEVICE SYSTEMS AND METHODS,"A connected streetlamp has live video feed zooming capabilities, Fifth Generation (5G) cellular wireless functionality, and traffic analytics capabilities using artificial intelligence (AI) and computer vision image recognition functionality built in to the monitoring device operably attached to or otherwise integrated with the streetlamp head. In other embodiments, the monitoring device may be located on or integrated with other parts of the streetlamp, or located on or integrated with a telephone poll, post, fence, building or other structure located alongside or near a street or road. A vehicle traffic monitoring system may include a plurality of multi-access edge computing (MEC) vehicle traffic monitoring devices each integrated in a respective connected streetlamp.",20241226,G06V20/54,A1
20250014161,BUILDING ENVELOPE REMOTE SENSING DRONE SYSTEM AND METHOD,"Exemplary methods, systems, apparatus, and computer programs are disclosed for an unmanned aerial system (UAS) inspection system that includes an unmanned aerial system and analysis system for exterior building envelopes and energy performance evaluation and simulation. The UAS can autonomously and systematically collect data for a building's exterior using a payload comprising (i) nondestructive testing (NDT) sensors configured for imaging (visible, infrared, or more) the building and (ii) one or more multi-spectral sensors (LiDAR, ultrasound, radar, or more). The acquired sensor data are provided to an analysis system comprising computer vision (CV) and signal processing modules configured to analyze the acquired data to i) identify building objects (doors, windows, rooftop units, and others) ii) characterize envelope properties (components, heat resistivity, or others) and 3) identify initial thermal anomalies (thermal bridges, physical defects, or infiltration/exfiltration) in a processing pipeline.",20250109,G01J5/00,A1
20250018939,INFRASTRUCTURE COOPERATIVE AUTONOMOUS DRIVING SYSTEM AND METHOD OF GENERATING TRAJECTORY CONSTRAINTS FOR COLLISION AVOIDANCE IN AUTONOMOUS VEHICLES BY USING THE SYSTEM,"According to the present invention, autonomous driving may be performed according to an autonomous driving strategy defined in trajectory constraints generated based on object recognition information about a road map and various traffic participants, and thus, because collision avoidance does not obstruct traffic of an adjacent lane despite a situation where an autonomous vehicle stops for avoiding a collision, the stability of autonomous driving may increase and vehicle traffic management may be easily performed.",20250116,B60W30/095,A1
20250022076,METHOD AND SYSTEM FOR MANAGING CONSTRUCTION PROJECTS WITH AUTOMATIC GENERATION OF SMART CONTRACT,"Method and system for the design, execution and monitoring of works, particularly in the construction field, through the modeling of projects by means of a BIM system integrated with the construction engineering necessary to configure all the systems and equipment required for construction, including automatic generation of smart contracts starting form a contract document. In a preferred embodiment of the present invention the automatic generation of a smart contract is performed by means of SysML (System Modeling Language) tool. IoT and/or Blockchain technologies are combined with conventional BIM systems for more precise monitoring and traceability of the stages in construction. The system and method according to a preferred embodiment of the present invention use the information collected by a plurality of detectors. The plurality of detectors preferably includes IoT devices. Detectors can be associated with any machinery used for the project and may include, for example, image acquisition devices such as cameras, remote cameras or web-cams fixed or mounted on drones; other possible detectors may be worn by construction staff. Detectors may also receive information from meteorological and/or seismographic services for a geographical area linked to at least one project.",20250116,G06Q10/0631,A1
20250022273,CONTENT-AWARE AI-ASSISTED VIDEO SUMMARIZATION,"Systems and methods for summarizing an infrastructure surface inspection video, which can involve processing frames of the infrastructure surface inspection video through a spatial in-frame process configured to conduct feature and text extraction on the frames on detected observations, the extracted features and text used to generate spatial metadata; processing the frames of the infrastructure surface inspection video through a temporal cross-frame process configured to detect changes across sequences of the frames including the spatial metadata, the temporal cross-frame process configured to generate temporal metadata encapsulating the detected changes; and processing the frames of the infrastructure surface inspection video through an activity decision process configured to intake the spatial metadata and temporal metadata to detect and track structural features or defects of interest as activity in the infrastructure surface inspection video and generate summary metadata from the spatial metadata, temporal metadata, and detected segments of interest.",20250116,G06T7/00,A1
20250022373,All Weather Traffic Monitoring with Roadside Infrastructure,"The disclosed system and methodology enable coexistence of networking and sensing on next-generation millimeter-wave (mmWave) picocells for traffic monitoring and pedestrian safety at intersections in all weather conditions. Existing wireless signal-based object detection systems suffer from limited resolution, and their outputs may not provide sufficient discriminatory information in complex scenes, such as traffic intersections. The disclosed system uses 5G picocells, which operate at mmWave frequency bands and provide higher data rates and higher sensing resolution than traditional wireless technology. It is difficult to run sensing applications and data transfer simultaneously on mmWave devices due to potential interference. MmWave devices are vulnerable to weak reflectivity and specularity challenges which may result in loss of information about objects and pedestrians. To address such challenges, the disclosed design uses customized deep learning models that not only can recover missing information about the target scene but also enable coexistence of networking and sensing.",20250116,G01S13/931,A1
20250026491,ARTIFICIAL INTELLIGENCE TECHNIQUES FOR AUTONOMOUS OPERATION OF PASSENGER BOARDING BRIDGES,"In some embodiments, a computer-implemented method of controlling autonomous movement of a mobile object in an aircraft operating area is provided. An autonomous control computing system receives an image from a digital camera positioned to view at least a portion of the mobile object. The autonomous control computing system provides the image to a machine learning model to detect within the image one or more self objects and one or more intruder objects. The one or more self objects are affixed to the mobile object. The autonomous control computing system predicts future locations for the self objects based on a navigation path for the mobile object. In response to detecting an overlap between the future locations for the self objects and the intruder objects, the autonomous control computing system alters the navigation path to prevent a collision between the self objects and the intruder objects.",20250123,B64F1/305,A1
20250028338,"ROBOT-FRIENDLY BUILDING, METHOD AND SYSTEM FOR MONITORING ROBOT OPERATION","A method of monitoring a robot operation according to some example embodiments, includes receiving robot information from each of the robots through communication with the robots located in a building where the robots provide services, and displaying, on a display unit, a monitoring screen configured to monitor an operational situation of the robots located in the building. The monitoring screen including a building graphic object representing the building, and a state graphic object positioned around the building graphic object, the state graphic object representing state information on a robot located on each of a plurality of floors included in the building, the state information on the robot and a visual appearance of the state graphic object determined based on the robot information received from each of the robots.",20250123,G05D1/692,A1
20250045772,DATA CENTER CARBON EFFICIENCY OPTIMIZATION,"Examples described herein relate to monitoring a carbon efficiency metric associated with a data center and determining a recommendation to improve the carbon efficiency metric. A data processing device may determine a carbon efficiency metric associated with a data center based on determining a power consumption of an infrastructure device of the data center. The data processing device may determine the carbon efficiency metric further based on estimating a performance of the infrastructure device based on the power consumption. The data processing device may also determine a recommendation to change the data center to improve the carbon efficiency metric based on predicting, using a machine learning model and based on a time-series dataset, whether the carbon efficiency metric is associated with a temporary event. The data processing device may provide the recommendation to an output device.",20250206,G06Q30/018,A1
20250052356,ROBOTS FOR WATER TUNNEL INSPECTION AND SYSTEMS THEREOF,"In some embodiments, provided is a robot for water tunnel inspection, comprising: (a) a shell, comprising an upper shell and a lower shell; wherein the upper shell and the lower shell are sized and shaped to match each other, together defining a closed cavity therewithin; (b) a camera system, configured to capture an image or video of a field of view of surrounding; (c) a lighting system, configured to provide illumination at least partially for the field of view; (d) a propulsion system, configured to provide propulsion force to the robot in water; and (e) a controlling system, configured to provide power and control operation of the robot, wherein the robot is configured to float on water and to have a center of gravity positioned lower than geometric center. Other example embodiments are described herein. In certain embodiments, the robots provide safe and efficient tunnel inspections without human operation.",20250213,B63G8/00,A1
20250069178,Monitoring A Motor Vehicle During An At Least Highly Automated Journey Within A Parking Area,"A method for monitoring, on the infrastructure side, a highly automated journey of a motor vehicle within a parking area, including the steps of receiving, on the infrastructure side, motor vehicle state data which are transmitted by the motor vehicle during an at least highly automated AVP type 1 journey within the parking area and describe a motor vehicle state during the at least highly automated AVP type 1 journey of the motor vehicle, and monitoring, on the infrastructure side, the at least highly automated AVP type 1 journey of the motor vehicle on the basis of the received motor vehicle state data. An AVP system for a parking area, to a method for at least highly automated driving of a motor vehicle, to an AVP system for a motor vehicle, to a motor vehicle, to a computer program and to a machine-readable storage medium.",20250227,B60W60/00,A1
20250078491,HIGH-PERFORMANCE OBJECT DETECTION SYSTEM USING HDR IMAGES OBTAINED FROM LDR CAMERAS IN AUTONOMOUS VEHICLES,"A high-performance object detection system using HDR images obtained from LDR cameras, which allows for the separation and recognition of detected objects in images under high illumination difference conditions (tunnels, sunrise or sunset, etc.) and prevents autonomous vehicles from causing undesired accidents is provided.",20250306,G06T5/50,A1
20250083909,"Apparatus and Devices for Moving, Transporting, and Storing Porch Bots","The present invention provides an automated product transport and storage system designed to enhance efficiency, precision, and safety in logistics and delivery operations. The system includes automated bots, such as porch bots, railed fork bots, and railed crane bots, which perform tasks like loading, unloading, and positioning products within transport vehicles. These bots reduce the reliance on manual labor, mitigate the risk of injuries, and improve productivity by operating autonomously or semi-autonomously in confined or complex environments, such as urban and suburban delivery routes. The system is equipped with advanced control systems, GPS tracking, and obstacle detection, enabling precise navigation and real-time responsiveness. Versatile and adaptable, the system can be used across various industries, from food distribution to industrial supply chains, while reducing infrastructure requirements and contributing to energy efficiency. This invention represents a significant advancement in automated logistics and product handling.",20250313,B65G67/20,A1
20250085189,SYSTEM AND METHOD FOR FACADE OPERATIONS WITH ROBOTICS CARRIERS,"The present invention pertains to a system that can conduct building facade operations with an end effector. The robot system can include an end effector and a carrier platform. The end effector can travel to a position along a building facade to conduct the required tasks such as inspection or marking. The carrier platform can include a mobile chassis, a cable actuating mechanism, a cable routing system, and a fall protection system. The mobile chassis can move the carrier platform along a roof of a building or other site. The cable routing system together with the cable actuating mechanism can drive positioning and extension of the end effector. The coordinated motion of the mobile chassis and the cable actuating mechanism can enable adaption to the building geometries and features. A fall protection system can be incorporated to ensure the safety of the end effector.",20250313,B25J11/00,A1
20250091592,Roadway Sign for Autonomous Vehicle Sensor Calibration,"The present invention provides a roadway sign that is visible only to computer sensors, specifically designed for calibrating autonomous vehicle sensors. The roadway sign uses low-visibility markers or calibration targets integrated into existing road infrastructure. The sign is not visible to human drivers, ensuring no distraction or confusion. A roadway sign that is invisible to the human eye but detectable by computer sensors, such as those found in autonomous vehicles, streamlines the calibration process. Continuous, reliable and frequent calibration ensures that the sensor data remains accurate, reducing the risk of misinterpretation that can lead to accidents.",20250320,B60W50/00,A1
20250111282,ALARM MONITORING AND EVALUATION SYSTEMS AND METHODS,At least one processor may receive vent data describing a plurality of events related to equipment managed by a building management system. The at least one processor may process the event data using at least one machine learning model. Outputs of the at least one machine learning model may include at least a priority label and a probability score for each respective event in the event data. The at least one processor may generate a user interface within the building management system. The user interface may indicate at least the priority label and the probability score for at least one of the events.,20250403,G06F18/23,A1
20250111668,FIRE RISK DETERMINATION,"A method for automatically determining a fire risk of a property utilizing machine learning to account for various features on a property, the machine learning automatically identifying features on a property relative to a building and providing weighting to the identified features based on various criteria to generate a fire score for the property and a total fire risk when the fire score is combined with a fire hazard associated with the property.",20250403,G01C11/04,A1
20250111677,"NEW NON-INVASIVE FULLY AUTOMATED SYSTEM IDENTIFYING AND CLASSIFYING VEHICLES AND MEASURING EACH VEHICLE'S WEIGHT, DIMENSION, VISUAL CHARACTERISTICS, ACOUSTIC PATTERN AND NOISE IN REAL-TIME WITHOUT INTERFERING WITH THE TRAFFIC","A vehicle monitoring system for determining one or more identifying characteristics of one or more vehicles traversing a bridge, including a plurality of sensor devices capturing electromagnetic signal or acoustic signals transmitted from a bridge and/or one or more vehicles traversing the bridge; and a computer system determining, from the signals, the one or more identifying characteristics comprising a weight distribution of one or more of the vehicles.",20250403,G01G19/03,A1
20250115283,RAILROAD CROSSING BLOCKAGE DETECTION AND NOTIFICATION SYSTEM,"A railroad crossing blockage detection and notification system gathers emergency call data and/or infrastructure sensor data and uses the data to generate a blockage score that is representative of a likelihood of a railroad blockage at a railroad crossing. The system may include and use a machine learning model to generate the blockage score. Using historical train collision data, the machine learning model may be trained on emergency call data and/or on infrastructure sensor data available in proximity to railroad crossing. The system may receive current emergency call data and/or infrastructure sensor data, may apply the data to the machine learning model to generate a likelihood of a blockage, and may notify emergency communication centers (ECCs), network operations centers (NOCs), emergency responders, and/or train systems of the potential blockage. In response to a potential blockage, a train may be slowed down or stopped to reduce the likelihood of a collision.",20250410,B61L23/30,A1
20250116535,EDDY CURRENT SENSOR INSPECTION WITH AI,"A method for detection and measurement of metallic objects such as rebars embedded in a concrete building structure, with emitting an electro-magnetic sensor signal and measuring an inductive response signal at different sensing positions at the surface of the structure, thereby measuring the sensing positions in such a way that the response signal is position determined. The detection of objects and determination of their depths and/or diameters is based on AI models which evaluate the response signal.",20250410,G01B7/12,A1
20250117703,MONITORING AI INFRASTRUCTURE,"A system includes a communication interface and a processor. The processor is configured to identify a value of at least one feature of artificial intelligence (AI) infrastructure, to compare the value to a threshold that was defined responsively to a biological parameter, and in response to comparing the value to the threshold, to output, via the communication interface, an alert indicating that computational capabilities of the AI infrastructure are excessive. Other embodiments are also described.",20250410,G06N20/00,A1
20250118069,"SYSTEMS AND METHODS FOR ENHANCED UTILITY LINE AND POLE DETECTION, CLASSIFICATION, AND INSPECTION USING LIDAR POINT CLOUD DATA","Systems and methods for evaluating utility infrastructure using LIDAR data by dynamically capturing and processing the LIDAR data for improved assessment accuracy and processing efficiency. The method includes determining an orientation of a mobile LIDAR system, dynamically capturing LIDAR data corresponding to a region of interest by collecting LIDAR samples based on the orientation and the region of interest, identifying a utility object based at least in part on the LIDAR samples, decimating the LIDAR samples within a predetermined area around the utility object, generating depth-encoded multi-perspective images of the utility object using the decimated LIDAR samples, and determining at least one condition of the utility object. Certain implementations include determining a speed and an orientation of a mobile LIDAR system and dynamically capturing position data corresponding to a region of interest by collecting LIDAR samples at a rate based on the speed, the orientation, and the region of interest.",20250410,G01S17/89,A1
20250124198,APPARATUS FOR MANAGING SMOKE RELATED ASPECTS OF A BUILDING DESIGN PLAN,"Apparatus operative to efficiently manage smoke aspects of a design plan. and smoke control practices. A design plan is represented using multiple dynamic components. Each dynamic component may include a parameter changeable via the user interactive interface. The dynamic components may be arranged in a user interactive interface to form a first set of boundaries, including a respective length and area, and defining at least a portion of a first unit. AI may determine a longest path of egress and a supportable occupancy load that may be used to determine compliance with parameters of a given code. The AI may assess whether a building described in the design plans complies with a relevant code set forth by an authority having jurisdiction. Codes may include, for example, codes relating to smoke control and fire safety.",20250417,G06F30/13,A1
20250124373,WIRELESS INTELLIGENT SITE EVALUATION,"A system for monitoring construction progress at a jobsite may comprise one or more nodes positioned at the jobsite. The system may include at least one hardware processor. One or more computer-readable storage media may store instructions which, when executed by the at least one hardware processor, may cause the system to perform operations. The operations may comprise emitting a Wi-Fi signal from at least one of the one or more nodes. The operations may include receiving the emitted Wi-Fi signal by at least one of the one or more nodes. One or more measurements may be performed based at least in part on the received Wi-Fi signal. The one or more measurements may be provided as input to a trained machine learning model. An indication of construction progress at the jobsite may be generated as output from the trained machine learning model.",20250417,G06Q10/0631,A1
20250124787,TECHNIQUES FOR AUTONOMOUS VEHICLE ACCIDENT MITIGATION,"Techniques are described for scenario data generation. An example method can include processing location-specific sensor information of a traffic accident at a location on a road network, the location-specific sensor information received from a sensor arranged on an infrastructure at the road network. The method can further include determining a location-specific element based on the location-specific sensor information. The method can further include determining a location-specific contributing factor of the traffic accident based on the location-specific element. The method can further include generating a location-specific model for simulating the traffic accident based on the location-specific contributing factor. The method can further include determining control instructions for a location-specific driving maneuver for an autonomous vehicle to mitigate a future traffic accident based on the location-specific model. The method can further include causing the control instructions to be transmitted to an actuator of the autonomous vehicle to perform the location-specific driving maneuver.",20250417,G08G1/01,A1
20250128101,SYSTEMS AND METHODS OF AUTOMATED SPRINKLER SYSTEM DIAGNOSTICS AND TESTING,"A building management system performs operations including obtaining an input triggering a test of a sprinkler system within a building associated with the BMS and retrieving a test having criteria regarding operation of components of the sprinkler system, transmitting control signals to trigger operation the components of the sprinkler system according to the test procedure and monitoring sensor data indicative of operational values associated with the components of the sprinkler system. The operations include determining whether a fault has occurred in a component of the sprinkler system during the test procedure based on evaluation of the operational value using the criteria, and reporting (1) a successful test of the sprinkler system responsive to determining that no faults or (2) reporting an unsuccessful test of the sprinkler system responsive to determining a fault occurred.",20250424,A62C37/50,A1
20250129552,ROAD WITH REINFORCED ROADSIDE,"The field of application of the present invention relates to the best practices that can be adopted in the construction of roads. also taking into particular consideration the fact that not only the road surface needs adequate consolidation, as it is normally done, but also the docks. In fact, the roadside must be considered part of the “road system”, and its characteristics have a great influence on the overall road safety. In particular, the “road system” according to the invention provides that, before laying the asphalt surface. a reticular mesh structure is laid over the road surface made up of material with good tensile strength and this reticular structure is designed to cover the entire roadbed from side to side in its Width, and to protrude significantly beyond the area in which it is envisaged to lay the asphalt, so that, once the asphalt has been laid, said reticular structure protrudes from the asphalted roadway so as to cover, at least in part, even the roadside. Furthermore, said reticular structure, in its edges, which, after installation, run parallel to the edge of the road, and externally to the paved site, is designed to facilitate the firm coupling of other elements of the “road system”. Said reticular mesh structure 300 is retained by the overlying road surface 210, but not only. In fact, since it envelops the entire strip of the elevated ground on which the road is built, it allows the entire mass of terrain on which the entire “road system” is built to collaborate in the overall resistance. It is thus proposed a “road system” in which parts that have historically been conceived in a substantially autonomous way (ground substrate platform, paving, and safety barriers) collaborate synergistically in the creation of a safe “road system” as a whole.",20250424,E01C11/16,A1
20250133106,METHOD AND DEVICE FOR MANAGING SECURITY IN A COMPUTER NETWORK,"Method and device for managing security in a computer network include algorithms of iterative intelligence growth, iterative evolution, and evolution pathways; sub-algorithms of information type identifier, conspiracy detection, media scanner, privilege isolation analysis, user risk management and foreign entities management; and modules of security behavior, creativity, artificial threat, automated growth guidance, response/generic parser, security review module and monitoring interaction system. Applications include malware predictive tracking, clandestine machine intelligence retribution through covert operations in cyberspace, logically inferred zero-database a-priori realtime defense, critical infrastructure protection & retribution through cloud & tiered information security, and critical thinking memory & perception.",20250424,G01C21/00,A1
20250136060,SERVERS AND SYSTEMS FOR AN INTELLIGENT ANTI-COLLISION VEHICLE WASH,"The disclosure is directed to a system for identifying anomalies within a vehicle wash location such as within a car wash tunnel. In some embodiments, the system utilized artificial intelligent models such as computer vision to determine position, velocity, proximity, and/or dangerous conditions of vehicles and/or wash equipment at the vehicle wash location. In some embodiments, the system is configured to control a vehicle conveying path based on abnormal conditions. In some embodiments, the system is configured to identify if a vehicle has deviated from an expected orientation, where the system can control the wash equipment in order to avoid a collision. In some embodiments, the system is configured to create a model of the vehicle wash location from a vehicle wash diagram. In some embodiments, the vehicle wash diagram enables a user to enter wash equipment and can output a camera location map based on the diagram.",20250501,B60S3/00,A1
