pub_number,title,abstract,publication_date,ipc_primary
12056917,Distributed management and control in autonomous conveyances,"Disclosed subject matter identifies, characterizes, and mitigates previously unforeseen safety hazards that are likely to be encountered by autonomous conveyances—finding these hazards, assessing their potential safety impact, modifying the design to mitigate them should they occur, disseminating updated design programming to all units, including those under construction or those already in the field, and including those hazard mitigations of high severity that exceed the maximum capabilities of the controller as manufactured. These hazards can include rare, infrequent and unforeseen hazards by monitoring conveyances already in the field, gathering data from autonomous conveyances, such as those using a design being updated, and data obtained from those using other autonomous designs in the field. By obtaining data from non-autonomous conveyances, as supplied by their drivers and operators, reporting real-time via a smartphone application, categories of rare, infrequent or unforeseen hazards can be integrated into modified designs.",20240806,B60W30/09
12061459,Method and system for automatic access provisioning and scaling of robots,"A method for automatically scaling a number of robots leveraging interactive sessions to be used within a system infrastructure, dynamically based on workload, is provided. The method includes: receiving a request for a number of robots to be provisioned within the system infrastructure; validating an availability of the requested number of robots; monitoring a CPU utilization and a memory utilization within the system infrastructure; adjusting the requested number of robots based on the CPU utilization and/or the memory utilization; and releasing the adjusted number of robots for facilitating use thereof to perform corresponding tasks within the system infrastructure.",20240813,G05B19/4155
12062231,Inundation and overflow prediction system using drone images and artificial intelligence,"Disclosed is an inundation and overflow prediction system, and particularly, when there is provided an inundation and overflow prediction system, which can visually express the areas and degree of inundation and overflow on an orthophotograph, a Digital Elevation Model, and a Digital Surface Model based on images captured by a drone, which can reflect the latest environment and provide accurate numerical data, visualized information on inundated areas may be used in real-time for management of land to identify areas vulnerable to inundation and overflow and quickly respond to disasters, and objective information on numerical data may be provided in selecting locations for installing safety facilities against flood. Additionally, reports and documents, drawings for creating data, and visible simulation values may be output to supports works, and, there is an effect of constructing and utilizing a database regarding maintenance of social infrastructures through continuously learning of drone images.",20240813,G06V20/17
12072298,Wall-climbing robot system and method for rapid nondestructive inspection of hidden defects in culverts and sluices,"A wall-climbing robot system and method for rapid nondestructive inspection of hidden defects in culverts and sluices. The system includes: a robot vehicle body; navigation positioning system and moving system, both mounted on the robot vehicle body; automatic knock inspection system, mounted at the vehicle body front end; mobile ultrasonic rapid inspection system and corrosion inspection system, dual-power system, formed by a non-contact negative pressure adsorption apparatus and rotor booster apparatuses, the non-contact negative pressure adsorption apparatus mounted on the vehicle body bottom, the rotor booster apparatuses mounted on two sides of the vehicle body; and a master controller, communicating with the navigation positioning system, moving system, automatic knock inspection system, mobile ultrasonic rapid inspection system, corrosion inspection system, and dual-power system. The system recognizes positions and categories of internal defects from ultrasonic data and perform concrete permittivity inversion and disease recognition on arbitrary length-continuous survey line ground-penetrating radar data.",20240827,B25J11/00
12089038,Method and apparatus for performing authorization for unmanned aerial system service in wireless communication system,"Disclosed are a communication scheme and a system thereof for converging IoT technology and a 5G communication system for supporting a high data transmission rate beyond that of a 4G system. The disclosure can be applied to intelligent services (for example, services related to a smart home, smart building, smart city, smart car, connected car, health care, digital education, retail business, security, and safety) based on the 5G communication technology and the IoT-related technology. Disclosed is a method of performing authorization related to an unmanned aerial system (UAS) service in a wireless communication system.",20240910,B64C39/02
12094200,Monitoring method for wheat kernel moisture content in-field based on planetscope satellite imagery,"The monitoring method for wheat kernel moisture content in-field based on PlanetScope satellite imagery in this disclosure comprises: (1) data collection and database establishment; (2) feature engineering: constructing various broad-band indices on the original bands provided by PlanetScope to expand the feature domain, and evaluate the importance of each feature to rank the features based on the comprehensive importance calculated by permutation importance based on regressors; (3) model construction: progressively adding the spectral features one by one as independent variables to the GBDT model according to the ranking results, and screen out the optimal spectral feature domain and inversion model for wheat kernel moisture content; (4) wheat kernel moisture content mapping. The disclosure utilizes machine learning inversion models based on spectral features and PlanetScope satellite imagery to obtain the wheat kernel moisture content at any position of the target farmland.",20240917,G06V20/10
12094355,Autonomous transportation system and methods,"Autonomous and manually operated vehicles are integrated into a cohesive, interactive environment, with communications to each other and to their surroundings, to improve traffic flow while reducing accidents and other incidents. All vehicles send/receive messages to/from each other, and from infrastructure devices, enabling the vehicles to determine their status, traffic conditions and infrastructure. The vehicles store and operate in accordance with a common set of rules based upon the messages received and other inputs from sensors, databases, and so forth, to avoid obstacles and collisions based upon current and, in some cases, future or predicted behavior. Shared vehicle control interfaces enable the AVs to conform to driving activities that are legal, safe, and allowable on roadways. Such activities enable each AV to drive within safety margins, speed limits, on allowed or legal driving lanes and through allowed turns, intersections, mergers, lane changes, stops/starts, and so forth.",20240917,B60W10/04
12098980,Systems and methods of alarm triggered equipment verification using drone deployment of sensors,"An equipment monitoring system includes an unmanned vehicle, an alarm circuit remote from the unmanned vehicle, and a vehicle control circuit remote from the unmanned vehicle. The unmanned vehicle can include a communications circuit and a flight controller. The alarm circuit detects a failure condition of a building component and outputs an indication of the failure condition. The vehicle control circuit receives the indication of the failure condition from the alarm circuit; generates, based on the indication of the failure condition, an equipment verification signal that includes an identifier of the building component, a position of the building component, and a test of the building component to be executed; and transmits the equipment verification signal to the flight controller of the unmanned vehicle via the communications circuit of the unmanned vehicle to cause the unmanned vehicle to execute the test of the building component.",20240924,B64U10/00
12101223,Telecommunication networks,"The present disclosure relates to a method and system for converging a 5th-Generation (5G) communication system for supporting higher data rates beyond a 4th-Generation (4G) system with a technology for Internet of Things (IoT). The system may be applied to intelligent services based on the 5G communication technology and the IoT-related technology, such as spmart home, smart building, smart city, smart car, connected car, health care, digital education, smart retail, security and safety services. The method includes a method for configuring a base station in a telecommunication network. The base station includes a central unit (CU) and a distributed unit (DU). The CU is arranged to perform virtualized network functions (VNFs). The CU includes an artificial intelligence (AI) engine operable to learn from computational metrics and to adjust the configuration of various VNFs, wherein an F1 interface is used to exchange computational metrics between the CU and the DU.",20240924,H04L41/08
12112650,Autonomous transportation system and methods,"Autonomous and manually operated vehicles are integrated into a cohesive, interactive environment, with communications to each other and to their surroundings, to improve traffic flow while reducing accidents and other incidents. All vehicles send/receive messages to/from each other, and from infrastructure devices, enabling the vehicles to determine their status, traffic conditions and infrastructure. The vehicles store and operate in accordance with a common set of rules based upon the messages received and other inputs from sensors, databases, and so forth, to avoid obstacles and collisions based upon current and, in some cases, future or predicted behavior. Shared vehicle control interfaces enable the AVs to conform to driving activities that are legal, safe, and allowable on roadways. Such activities enable each AV to drive within safety margins, speed limits, on allowed or legal driving lanes and through allowed turns, intersections, mergers, lane changes, stops/starts, and so forth.",20241008,B60W10/04
12118085,Systems and methods for machine learning enhanced intelligent building access endpoint security monitoring and management,Systems and methods for correlating access-system primitives generated by an access control system and semantic primitives generated by a sensor data comprehension system.,20241015,G06F18/21
12118703,Photo-realistic infrastructure inspection,"One aspect provides a modular inspection robot for inspecting vertical shafts, chambers or tunnels. An embodiment provides related methods and products. One method includes: capturing, using a plurality of video cameras associated with an infrastructure inspection unit, two or more videos of infrastructure; accessing, using one or more processors, image metadata indicating a mesh of connected vertices based on the two or more videos; selecting, using the one or more processors, image data of frames of the two or more videos for inclusion in an output based on the mesh; and outputting, using the one or more processors, a photo-realistic image of the infrastructure comprising the image data selected. Other examples are described and claimed.",20241015,G06T17/20
12124926,"Supplementing artificial intelligence (AI) / machine learning (ML) models via action center, AI/ML model retraining hardware control, and AI/ML model settings management","Supplementing artificial intelligence (AI)/machine learning (ML) models via an action center, providing AI/ML model retraining hardware control, and providing AI/ML model settings management are disclosed. AI/ML models may be deployed on hosting infrastructure where the AI/ML models can be called by robotic process automation (RPA) robots. When the performance of an AI/ML model falls below a threshold, the result of the AI/ML model prediction and other data is sent to an action center where a human reviews the data using a suitable application and approves the prediction or provides a correction if the prediction is wrong. This action center-approved result is then sent to the RPA robot to be used instead of the prediction from the AI/ML model.",20241022,G06N20/00
12124979,Artificial intelligence system and method for site safety and tracking,"A machine-learning ecosystem includes a correlation module for building at least one prediction model based on at least one data input including at least one input parameter and at least one output parameter, the prediction model relating the output parameter to the input parameter. The correlation module performs at least one threshold check on the prediction model to assess the robustness of the prediction model. The ecosystem further includes a decision module communicatively coupled to the correlation module and receiving the prediction model from the correlation module. Based on a verification check at the decision module, a confirmation, a deferral, or a rejection of the prediction model is sent from the decision module to the correlation module.",20241022,G06F18/214
12125262,Unmanned aerial vehicle based system to track solar panel system construction and commissioning,"An unmanned aerial vehicle based system, method, and computer program product, for inspection and monitoring construction progress of outdoor power facilities. The method can receive a construction plan and schedule identifying milestones for installation at an outdoor construction site of at least one externally placed piece of equipment specified in the construction plan. A machine learning artificial intelligence processing system identifies, from a set of observed aerial images of the outdoor construction site captured by an unmanned aerial vehicle, at least one externally placed piece of equipment in the outdoor construction site. The identified piece of equipment in the construction site is compared to an expected piece of equipment specified in the construction plan. The difference between identified and expected piece of equipment is reported and the construction schedule can be updated based on the difference. An alert is provided if the difference exceeds a threshold.",20241022,G06Q10/0637
12130204,Rapidly deployable UAS system for autonomous inspection operations using a combined payload,"Systems, devices, and methods for a mobile vehicle, the mobile vehicle comprising a base station; an unmanned aerial vehicle (UAV), where the UAV is launched from the base station; a payload disposed on the UAV, where the payload is configured to generate payload data of at least one infrastructure, and where the payload data comprises at least one of: a gas sensor data, an infrared imager for optical gas imaging (OGI) camera data, an infrared imager tuned for radiometric measurement camera data, a visible camera data, and a 3D mapping data; and a processor in communication with the UAV and the payload, where the processor is configured to determine an integrity of the at least one infrastructure based on payload data from the payload.",20241029,B64U10/13
12130890,Construction site defect and hazard detection using artificial intelligence,"A system and method for detecting construction site defects and hazards using artificial intelligence (AI) is provided. The system includes a movable base unit, a coordinate measurement scanner, a vision based sensor, and one or more processors. The one or more processors perform operations that include generating a two-dimensional (2D) map of the environment based at least in part on output from the coordinate measurement scanner, applying image recognition to the video stream data to identify and label a defect or hazard in the video data stream, correlating a location of the defect or hazard in the video stream data with the location in the 2D map, and recording the location of the defect or hazard in the 2D map.",20241029,G01B11/00
12139279,Visual inspection posable invertebrate robot (VIPIR) system,A visual inspection posable invertebrate robot (VIPIR) borescope camera system can inspect components in difficult to reach locations. The system enables dexterous robotic inspection of worksites and areas that were heretofore impossible to inspect via extravehicular activities (EVA) and fixed situational awareness cameras. VIPIR may include: (1) a main drive assembly; (2) a reel system; (3) a video borescope assembly (VBA); (4) an enhanced motorized zoom lens (EMZL); (5) a fixed camera assembly (FCA); (6) a support structure; and/or (7) a main electronics box (MEB).,20241112,A61B1/00
12141759,Determining utility infrastructure and connectivity interruptions,"An approach for determining an infrastructure service interruption is disclosed. The approach relies on utilizing UAVs (unmanned aerial vehicle) to map electronic signals (e.g., Wi-Fi, etc.) that emanates from building structures (e.g., residential, commercial, etc.). Electronic signals having a certain frequency or multiple frequencies may be used. Essentially, the approach can detect power/signal loss by comparing differences in Wi-Fi signal maps pre and post event (e.g., severe thunderstorm, etc.). The 24/7 event monitoring is carried out by using UAVs and the UAVs can operate on a regular or event driven schedule vs. continuously operating multiple fixed data collection units.",20241112,B64C39/02
12143894,Monitoring tool for detecting violations of user physical location constraints,"Techniques are provided for detecting violations of user physical location constraints. One method comprises obtaining a constraint on a physical location of a user within a building; evaluating a network signal from a processing device of the user to identify a physical port that connects the processing device of the user to a network; obtaining a mapping of the physical port to a physical location within the building to determine the physical location of the user within the building; determining if the physical location of the user within the building violates the constraint; and initiating an automated remedial action in response to a result of the determining. The user can be identified using a device signature of the processing device of the user (e.g., based on one or more identifiers of hardware, software and/or network elements associated with the processing device).",20241112,H04W4/029
12159385,Method and system for monitoring and safety evaluation of dam body defect of check dam,"A method for monitoring and safety evaluation of a dam body defect of a check dam is provided, including steps of: obtaining multi-source remote sensing data, unmanned aerial vehicle (UAV) data, ground monitoring data and sensing images through a three-dimensional data network; identifying the sensing images through an R-CNN algorithm and a Fast R-CNN based on the UAV data and check dam body database to determine check dams having defects and types of defects, defect data and position data; performing classification statistics of the check dams having defects according to the types of defects; building a three-dimensional model of the dam body safety evaluation standards for check dams after classification according to the position data and the ground monitoring data; input the defect data in a check dam safety performance evaluation module to obtain simulation data; and completing the evaluation according to the simulation data and the three-dimensional model.",20241203,G06T17/00
12184509,Machine learning monitoring of wireless network infrastructure application servers,"Machine learning systems and techniques are described herein for monitoring application servers within the computing infrastructure of a wireless network. A machine learning system may train and execute models based on performance metrics, error data, and failures from application servers configured to perform various functions relating to communication session authorization, monitoring, and charging for voice, data, and messaging communication services over the wireless network. Machine learning models may be configured to predict service degradations, detect performance anomalies, and determine root causes, and various models may output particular application servers, components, and/or predicted times of certain events. Based on the outputs of the machine learning models, the machine learning system may perform various actions for the wireless network infrastructure, including data outputting and/or executing processes on the application servers to analyze, restart, and/or repair particular components.",20241231,H04L41/0659
12190726,Autonomous vehicle maneuver system for emergency vehicles and non-standard traffic flow,"Systems and methods are provided that may to cause autonomous navigation of autonomous vehicles in the case of non-standard traffic flows such as police stops, emergency vehicle passing, construction sites, vehicle collision sites, and other non-standard road conditions. An entity associated with the non-standard traffic flow (e.g., an emergency vehicle, road sign, barrier, etc.) may transmit or broadcast a control signal to be received (or otherwise detected) at one or more autonomous vehicles. Each autonomous vehicle, upon receiving the control signal, may autonomously navigate in accordance with the control signal, thus mitigating or eliminating dangers associated with non-standard traffic flows.",20250107,G05D1/00
12197373,"Test, development and deployment infrastructure for spacecube high-performance flight processors","Software and hardware for monitoring, testing, and developing communication and electronic systems on spacecrafts. Several systems are provided to monitor, test, and control a next generation SpaceCube, including a RadHard Monitor (RHM), a Mini ASTM Board, an FMC+ ASTM Board, a Mini Evaluation Board, a MEZZ and an Automated Test Suite. The RHM are FPGA IP and hardware configured to monitor COTS components. The Mini ASTM Board connects a Mini Processor Card to an ASTM for electrical testing. FMC+ ASTM Card connects FMC and FMC+ test cards to the ASTM for electrical testing. A Mini Evaluation Board supplies all necessary power to the Mini Processor card. The MEZZ is a multi-use GSE test board that is compatible with several different development platforms in the SpaceCube to allow developers to develop and test their software. The Automated Test Suite provides functional testing of an assembled SpaceCube board.",20250114,B64G1/66
12197829,Artificial intelligence determination of building smoke and indoor air quality management,"Methods and apparatus operative to quantify building metrics using artificial intelligence analysis of a design plan and apply the quantified building metrics to smoke control practices. A design plan is represented using multiple dynamic components. Each dynamic component may include a parameter changeable via the user interactive interface. The dynamic components may be arranged in a user interactive interface to form a first set of boundaries, including a respective length and area, and defining at least a portion of a first unit. AI may determine a longest path of egress and a supportable occupancy load that may be used to determine compliance with parameters of a given code. The AI may assess whether a building described in the design plans complies with a relevant code set forth by an authority having jurisdiction. Codes may include, for example, codes relating to smoke control and fire safety.",20250114,G06F30/13
12200406,"Automated property monitoring and surveillance using artificial intelligence, mobile devices, and drones","The present disclosure provides a comprehensive system for remote property monitoring utilizing mobile devices, autonomous drones, and artificial intelligence (AI). The system includes a mobile application for user registration and monitoring requests, a central processing server for data analysis and management, and drones and mobile devices for capturing high-resolution images and videos. AI algorithms process the captured data to detect anomalies or unauthorized activities. The system generates real-time alerts and detailed reports, which are sent to property owners via the mobile application. The flexibility of the system allows it to be hosted in the cloud, on-premises, or in a hybrid model. The invention also supports integration with third-party home security systems, enhancing overall security. Key applications include property security, agricultural monitoring, infrastructure inspection, environmental conservation, disaster response, and urban planning. This automated, scalable, and efficient system provides robust, real-time property surveillance and management.",20250114,G06Q10/1093
12202634,Indoor aerial vehicles with advanced safety features,"An aerial vehicle configured for operation within indoor spaces has a meshed construction with a housing defined by upper and lower sections having meshes provided above and below propellers and motors of the aerial vehicle. The aerial vehicle also includes a suite of sensors such as LIDAR sensors, time-of-flight sensors, cameras, ultrasonic sensors, or others. Meshes of the upper and lower sections include central openings along with spokes and concentric rings provided about the central openings. Meshes of the lower section have substantially larger central openings than meshes of the upper section, but feature more dense spokes or concentric rings beneath tips of the rotating propellers, which may be hinged or foldable in nature. Data captured by sensors of the aerial vehicle may be utilized for any purpose, such as to generate environment maps of an indoor space, or to monitor the indoor space for adverse conditions or events.",20250121,B64D47/02
12203373,Automatic microseismic monitoring-intelligent rockburst early warning integrated system and method for tunnel boring machine (TBM)-based construction,"An automatic microseismic monitoring-intelligent rockburst early warning integrated system for TBM-based construction includes a partition plate, a guide rail, a sensor festoon bracket, a trolley festoon bracket, and a trolley. The trolley is provided with a drive wheel adapted and connected to the guide rail. The sensor festoon bracket is provided with a microseismic sensor festoon, and the trolley festoon bracket is provided with a trolley festoon. The trolley is provided with a collaborative robot for clamping a removable anchoring device, and a collaborative robot control cabinet connected thereto. An automatic microseismic monitoring-intelligent rockburst early warning integrated method is further provided.",20250121,E21D9/00
12205415,Infrastructure to support real-time review of events,"A system and method including receiving an indication of an occurrence of an event associated with the operation of an autonomous vehicle; determining at least one action to be performed, the at least one action including a data request for a specified subset of stored data associated with the operation of the autonomous vehicle from a memory; generating an output including the specified subset of data; and transmitting the specified subset of data to a remote monitoring system.",20250121,G07C5/00
12207861,Real-time surgical tool presence/absence detection in surgical videos,"Embodiments described herein provide various techniques and systems for building machine-learning surgical tool presence/absence detection models for processing surgical videos and predicting whether a surgical tool is present or absent in each video frame of a surgical video. In one aspect, a process for ensuring patient safety during a laparoscopic or robotic surgery involving an energy tool is disclosed. The process can begin receiving a real-time control signal indicating an operating state of an energy tool during the surgery. Next, the process receives real-time endoscope video images of the surgery. The process simultaneously applies a machine-learning surgical tool presence/absence detection model to the real-time endoscope video images to generate real-time decisions on a location of the energy tool in the real-time endoscope video images. The process then checks the real-time control signal against the real-time decisions to identify an unsafe event and takes a proper action when an unsafe event is identified.",20250128,A61B18/00
12214283,Systems and methods for machine learning-based emergency egress and advisement,"The disclosed systems and methods provide for generating real-time egress plans for users in a building, based on the users' current locations. As the users' current locations change, egress plans associated with the users can be dynamically modified in real-time. The egress plans can also be generated, modified, and/or trained based on inputted information about the user. The disclosed technology can include a mobile application for presenting, in a centralized interface, information about user-specific egress plans, training the user for different emergency scenarios, improving or changing features in the building to improve safety, and user profiles. The mobile application can include training simulation games to help prepare the users to safely egress during an emergency. The disclosed technology can also predict building component and structure emergency risk levels. The disclosed technology can also designate zones in the building based on possible egress routes.",20250204,A63F13/5378
12214806,Robotic source detection device and method,"An autonomous robotic vehicle is capable of detecting, identifying, and locating the source of gas leaks such as methane. Because of the number of operating components within the vehicle, it may also be considered a robotic system. The robotic vehicle can be remotely operated or can move autonomously within a jobsite. The vehicle selectively deploys a source detection device that precisely locates the source of a leak. The vehicle relays data to stakeholders and remains powered that enables operation of the vehicle over an extended period. Monitoring and control of the vehicle is enabled through a software interface viewable to a user on a mobile communications device or personal computer.",20250204,B60K1/02
12223819,Building security and emergency detection and advisement system,"Disclosed are systems and methods for providing distributed security event monitoring. The system can include a central monitoring system and sensor devices positioned throughout a premises that passively detect conditions and emit signals guiding people on the premises when a security event is detected. The sensor devices can include suites of sensors and can transmit detected conditions to the central monitoring system. The central monitoring system can combine the detected conditions to generate a collective of detected conditions, determine whether the collective of detected conditions exceeds expected threshold conditions, identify a security event on the premises based on the collective of detected conditions, classify the security event using machine learning models, generate instructions to produce audio or visual output at the sensor devices that notifies people on the premises about the security event, and transmit the instructions to the sensor devices to emit signals indicating information about the security event.",20250211,G08B21/18
12227304,Method of automated undocking a passenger boarding bridge from an aircraft,"A method for automatically undocking a passenger boarding bridge that is located in a docked position at a door of an aircraft, includes detecting a start signal to start the undocking procedure, confirming safety conditions, and automatically moving the passenger boarding bridge from the docking position to a parking position.",20250218,B64F1/305
12228897,Securing access of a process control or automation system,"A process plant and industrial control system architecture includes a generalized compute fabric that is agnostic or indifferent to the physical location at which the compute fabric is implemented, includes one or more physical control or field devices located at one or more specific sites at which a product or process is being manufactured and further includes a transport network that securely provides communications between the compute fabric and the pool of physical devices. The compute fabric includes an application layer that includes configured containers or containerized software modules that perform various control, monitoring and configuration activities with respect to one or more devices, control strategies and control loops, sites, plants, or facilities at which control is performed, and includes a physical layer including computer processing and data storage equipment that can be located at any desired location, including at or near a site, plant, or facility at which control is being performed, at a dedicated location away from the location at which control is being performed, in re-assignable computer equipment provided in the cloud, or any combination thereof. This control architecture enables significant amounts of both computer processing and IT infrastructure that is used to support a process plant, an industrial control facility or other automation facility to be implemented in a shared, in an offsite and/or in a virtualized manner that alleviates many of the communications and security issues present in current process and industrial control systems that attempt to implement control with shared or virtualized computing resources set up according to the well-known Purdue model. The industrial control system architecture is protected via more secure and customizable techniques as compared to those used in Purdue model-based control systems. For example, communications between any (and in some cases, all) endpoints of the system may be protected via one or more virtual private networks to which authenticated endpoints must be authorized to access. Endpoints may include, for example, containerized components, physical components, devices, sites or locations, the compute fabric, and the like, and the VPNs may include mutually-exclusive and/or nested VPNs. External applications and services, whether automated or executing under the purview of a person, may access information and services provided by the system via only APIs, and different sets of APIs may be exposed to different users that have been authenticated and authorized to access respective sets of APIs. A configuration system operates within the compute fabric to enable a user to easily make configuration changes to the compute fabric as the user does not generally need to specify the computer hardware within the compute fabric to use to make the configuration changes, making it possible for the user to deploy new configuration elements with simple programming steps, and in some cases with the push of a button.",20250218,G05B15/02
12250044,Method and system for channel quality status prediction in wireless network using machine learning,"The disclosure relates to a communication method and system for converging a fifth-generation (5G) communication system for supporting higher data rates beyond a fourth-generation (4G) system with a technology for Internet of Things (IoT). The disclosure may be applied to intelligent services based on the 5G communication technology and the IoT-related technology, such as a smart home, a smart building, a smart city, a smart car, a connected car, health care, digital education, smart retail, security and safety services. A method for predicting channel quality status (CQS) in a wireless network by a base station (BS) is provided. The method includes receiving channel quality indicator (CQI) reports, pre-coding matrix index (PMI) reports, and rank index (RI) reports of first frequency band of a plurality of frequency bands in the wireless network, storing the CQI reports, the PMI reports, and the RI reports of the first frequency band, and predicting the CQI, the PMI and the RI of a second frequency band of the plurality of frequency bands associated with the UE based on the CQI reports, the PMI reports, and the RI reports of the first frequency band.",20250311,H04B7/0417
12252268,Artificial intelligence techniques for autonomous operation of passenger boarding bridges,"In some embodiments, a computer-implemented method of controlling autonomous movement of a mobile object in an aircraft operating area is provided. An autonomous control computing system receives an image from a digital camera positioned to view at least a portion of the mobile object. The autonomous control computing system provides the image to a machine learning model to detect within the image one or more self objects and one or more intruder objects. The one or more self objects are affixed to the mobile object. The autonomous control computing system predicts future locations for the self objects based on a navigation path for the mobile object. In response to detecting an overlap between the future locations for the self objects and the intruder objects, the autonomous control computing system alters the navigation path to prevent a collision between the self objects and the intruder objects.",20250318,B64F1/305
12252899,Structures and methods for lunar utilization,"A structure, system, and method utilize horizontal hole cavities on the moon for constructing dwellings, shopping areas, factories, industrial and power plants, government offices, towns, and for unmanned robot devices where cosmic rays and ultraviolet are not directly incident. The horizontal hole cavities are also utilized to store trash such as all waste materials on the earth including waste or trash, hazardous materials, and radioactive waste as well as all waste materials on the moon including such things as waste or trash, hazardous materials, and radioactive waste. The radioactive waste includes spent fuel, radioactive soil, radioactive liquid, and radioactive material produced by nuclear power plants during normal and accident conditions. The vertical hole cavities are utilized for building elevators and stairs, and pipes supplying oxygen produced by photosynthesis devices on the moon's surface and carbon dioxide produced by humans in the cavity are used as conduits.",20250318,B64G1/00
12270561,Systems and methods for automated system identification,"A controller for performing automated system identification. The controller includes processors and non-transitory computer-readable media storing instructions that, when executed by the processors, cause the processors to perform operations including generating a predictive model to predict system dynamics of a space of a building based on environmental condition inputs and including performing an optimization of a cost function of operating building equipment over a time duration to determine a setpoint for the building equipment. The optimization is performed based on the predictive model. The operations include operating the building equipment based on the setpoint to affect a variable state or condition of the space and include monitoring prediction error metrics over time. The operations include, in response to detecting one of the prediction error metrics exceeds a threshold value, updating the predictive model.",20250408,F24F11/47
12271729,Progressive delivery of cluster infrastructure updates,"Platforms to support and manage an autonomous vehicle (AV) fleet can be implemented on and supported by cluster infrastructure. Cluster infrastructure may include different clusters, such as a cluster for an AV fleet with safety drivers, and a cluster for an AV fleet without safety drivers. Updates to the cluster infrastructure can be made to multiple clusters at once. Such updates may cause an outage that impacts multiple clusters and create a massive vehicle retrieval event for all AV fleets. To mitigate the risk and allow for prioritization of clusters, updates can be rolled out in a staged and ordered manner according to order values associated with different clusters. After applying an update to a cluster at a stage of the roll out, the cluster may be evaluated to confirm the success of the update, before the roll out can be moved to the next stage.",20250408,B60W60/00
12275428,Vehicle control system,"A vehicle control system that makes it possible to ensure the safety and enhance the productivity at the same time is provided. An unmanned dump 10 receives positional information about a manned vehicle 20 by using infrastructure-to-vehicle communication 520 and infrastructure-to-infrastructure communication 510 . In a case where an inter-vehicle distance X between the unmanned dump 10 and the manned vehicle 20 is equal to or shorter than a reference distance Y, the unmanned dump 10 decides whether or not vehicle-to-vehicle communication 550 is established between the unmanned dump 10 and the manned vehicle 20 . In a case where it is decided that the vehicle-to-vehicle communication 550 is established, the upper limit of the travel speed of the unmanned dump 10 is set to a first speed V 1 , and in a case where it is decided that the vehicle-to-vehicle communication 550 is not established, the upper limit of the travel speed of the unmanned dump 10 is set to a second speed V 2.",20250415,B60W30/16
12286120,Vehicle and method of controlling a vehicle,"A vehicle for preventing accidents when entering a tunnel includes: a front camera provided in the vehicle and configured to acquire front image data, a light wave detection and ranging (LiDAR) sensor provided in the vehicle and configured to acquire point cloud data, a front radar provided in the vehicle and configured to acquire front radar data, and a driver assist system including at least one of a cruise control system, an emergency braking control system, or a body control module. The vehicle further includes a controller that recognizes a tunnel positioned in front of the vehicle based on the front image data and the point cloud data, detects a preceding vehicle based on the front radar data, and controls an operation of the driver assist system based on the recognition of the tunnel in front of the vehicle and a relative speed between the preceding vehicle and the vehicle.",20250429,B60W30/09
12306073,Ultra-large physical simulation facility for deep engineering disasters,"Provided is an ultra-large physical simulation facility for deep engineering disasters, including a long-time large-load loading system for a geological model, a 3D printing system of a deep oil, gas and water multiphase multi-component complex geological body model, a high-temperature-chemical-multiphase fluid collaborative injection, monitoring and control system, a robot excavation and monitoring system for a complex engineering structure in a model under deep geological environment, an intelligent ventilation system for a deep metal mine complex drilling, mining and transferring network, an intelligent filling system for a deep metal mine ultra-large stope, a deep-well enhanced geothermal safe intelligent mining system, an all-spatial-temporal intelligent high-precision monitoring system for an excavation and fracture process of a large-scale geological model, and an ultra-large multi-task intelligent collaborative main control and digital twin system for physical simulation tests.",20250520,E21F17/00
12307698,Method and system for collaborative construction of a map,"Methods and systems for constructing a map of an environment. One or more sensory devices installed on an autonomous vehicle take readings within a field of view of the sensory device. As the vehicle moves within the environment, the sensory device continuously takes readings within new fields of view. At the same time, sensory devices installed on other autonomous vehicles operating within the same environment and/or fixed devices monitoring the environment take readings within their respective fields of view. The readings recorded by a processor of each autonomous vehicle may be shared with all other processors of autonomous vehicles operating within the same environment with whom a data transfer channel is established. Processors combine overlapping readings to construct continuously growing segments of the map. Combined readings are taken by the same sensory device or by different sensory devices and are taken at the same time or at different times.",20250520,G01C11/02
12309174,Change monitoring and detection for a cloud computing environment,"Aspects described herein allow for systems and methods to monitor production changes to resources in a cloud computing environment and determine whether those changes were performed in accordance with a change management policy. A change order monitoring application receives data from cloud computing audit logs to detect infrastructure changes and combines that data with application information to determine which application was affected. The change order monitoring application then uses a machine learning algorithm to cluster multiple change events together when it is likely that the change events were part of the same change. If cluster of change activity does not appear to be authorized, the change order monitoring application sends an alert to a change management team and an application team to get more information about the activity.",20250520,G06F18/2323
